Date,MV,SV,VAR,DIA
2018-01-05,5083037.495686812,5079039.713065375,5368140.80639546,3370049.3399119885
2018-01-08,5060627.045954783,5056496.438355184,5348157.98892329,3368315.775436725
2018-01-09,5099900.135825925,5095607.807513122,5382747.612705617,3384717.9623949863
2018-01-10,5087294.743982035,5082968.508481094,5364786.698893789,3382050.9401253504
2018-01-11,5131502.389062117,5126924.453796279,5412200.233230991,3408587.811708228
2018-01-12,5193587.751604898,5188894.045840241,5475671.731934155,3439258.5678090416
2018-01-16,5229809.682077501,5225318.810140659,5510286.520153166,3437925.0566742234
2018-01-17,5339519.429912746,5334743.119865328,5616461.078288132,3481530.870782771
2018-01-18,5345713.526388181,5341427.246952872,5631737.792756609,3469262.5683424463
2018-01-19,5355063.082422114,5350694.62303784,5645121.601670015,3474329.9106547544
2018-01-22,5361702.437763533,5357181.062214218,5658251.359860618,3493532.4709961335
2018-01-23,5349467.385584857,5344981.313995403,5647255.908919949,3492065.6087478334
2018-01-24,5336904.117064159,5332345.714576489,5634955.231891297,3501400.186691559
2018-01-25,5372775.025913166,5368136.448759473,5669518.460843682,3517135.618082411
2018-01-26,5420121.724614798,5415544.924508954,5724306.306869551,3545939.45859448
2018-01-29,5381809.765168643,5377345.5679875035,5679788.496703542,3522603.0137351654
2018-01-30,5243146.954188435,5238413.495594553,5538804.321306631,3475396.7195626087
2018-01-31,5272996.456018325,5267918.346362303,5561820.836398197,3486331.510868116
2018-02-01,5271595.619697189,5266493.571730588,5552482.823651438,3488731.8309107884
2018-02-02,5178219.29641109,5173421.713299125,5450235.57526502,3399519.935991466
2018-02-05,4930338.782718945,4925922.08935819,5189687.647485306,3244032.53767169
2018-02-06,5042541.973758319,5037677.403135293,5314084.818891053,3319909.3212428326
2018-02-07,5065431.752244313,5060452.3157581445,5324501.961530002,3317242.2989731967
2018-02-08,4845083.824316199,4840502.31535496,5088194.681611906,3182691.0254700626
2018-02-09,4921151.946848871,4916587.151991601,5178104.1753364885,3227496.999599947
2018-02-12,5030025.526481742,5025468.038165348,5286060.919898195,3282704.360581411
2018-02-13,5035335.83592349,5030823.37169697,5297823.662953985,3288038.405120683
2018-02-14,5056669.439251339,5052124.93279746,5331703.044708842,3324443.259101214
2018-02-15,5089010.136295122,5084111.541407561,5360922.420920146,3367115.615415389
2018-02-16,5098578.727541268,5093711.583685557,5370000.213458704,3359914.655287372
2018-02-20,5047108.072047922,5042112.13587312,5324242.212702604,3325110.0146686225
2018-02-21,5028701.290982479,5023879.267237562,5299049.273182926,3303373.78317109
2018-02-22,5080191.908740425,5075276.159870706,5353727.027202022,3326976.930257368
2018-02-23,5138885.756515404,5133977.294081128,5424818.999375082,3372583.0110681425
2018-02-26,5207516.720385572,5202606.38238627,5498722.673157515,3426056.807574344
2018-02-27,5170433.832358365,5165583.541204837,5456003.790041681,3386584.8779837317
2018-02-28,5065744.68139843,5060770.991874789,5338963.027272335,3336444.8593145753
2018-03-01,4980744.184878551,4976034.838335006,5252153.434591666,3280170.689425257
2018-03-02,4930368.844292115,4925740.668091914,5209460.113413566,3271769.5692759035
2018-03-05,5013911.559529094,5009130.116483726,5296903.901441083,3318309.107881051
2018-03-06,4984506.771323002,4979711.347789163,5273500.357050216,3318309.107881051
2018-03-07,4990275.644712299,4985747.591573344,5278168.0608411245,3308574.4765968802
2018-03-08,4999251.946942094,4994691.184132694,5285632.884283977,3322309.6412855047
2018-03-09,5058863.286574406,5054042.756165426,5353845.158560362,3381250.8334444594
2018-03-12,4994778.497052528,4990171.558418725,5287201.76029499,3359914.655287372
2018-03-13,5017427.880431151,5013202.588185745,5307864.059411928,3336711.561541539
2018-03-14,4965350.691309121,4961265.7342032585,5257104.8042893,3305507.4009867986
2018-03-15,5025246.892093709,5021352.869568047,5319117.58689162,3320442.7256967598
2018-03-16,5023761.233611641,5019773.682699069,5320164.21191669,3321776.236831578
2018-03-19,4959679.613333239,4955569.975289267,5245969.119661468,3279237.231630884
2018-03-20,5001711.366085914,4997519.4224728225,5289118.404825278,3295106.014135218
2018-03-21,4961887.310983812,4957568.593593089,5250542.686839582,3288705.160688092
2018-03-22,4793853.141538365,4789662.611249814,5068437.355262816,3191892.252300307
2018-03-23,4741863.813172091,4737692.260415558,5002267.775043061,3135484.7312975065
2018-03-26,4867532.094410974,4863265.660780427,5149886.294548228,3224696.6262168293
2018-03-27,4820239.218904652,4816171.603710727,5092831.150905347,3177623.6831577546
2018-03-28,4825366.734509631,4821354.395051177,5093466.815423723,3177490.3320442727
2018-03-29,4809795.874091287,4805238.905954843,5084467.675375918,3219095.8794505936
2018-04-02,4800964.081705671,4796912.794965825,5062221.2599949585,3149086.54487265
2018-04-03,4924476.960080208,4920576.48470023,5186798.485430324,3202426.990265369
2018-04-04,4969316.196568939,4965474.4821775425,5242298.376651609,3233231.0974796643
2018-04-05,5019317.223974199,5015260.921588986,5288570.981620092,3265902.1202827045
2018-04-06,4902052.677641237,4898193.921075122,5161997.447037242,3188825.1766902255
2018-04-09,4884660.266478235,4880942.264654101,5147890.961636407,3196826.2434991333
2018-04-10,4984018.751196827,4980193.141094473,5254950.809455725,3253900.5200693426
2018-04-11,4913865.127692004,4910034.129142929,5181294.509083308,3225496.73289772
2018-04-12,4967096.341265358,4963116.037606801,5243098.07732238,3264568.6091478867
2018-04-13,4945095.561560557,4941314.73734938,5223712.733605947,3248166.422189626
2018-04-16,5015893.017910002,5012221.02529755,5303068.664828557,3275370.0493399124
2018-04-17,5111964.666417321,5108486.521920999,5406516.09432133,3304440.592078944
2018-04-18,5098859.921711628,5094906.879353846,5398147.9996798625,3298839.8453127085
2018-04-19,5071878.815553769,5068055.677646289,5371021.373199722,3288038.405120683
2018-04-20,5040349.90458265,5036534.608241271,5336336.275081398,3260168.0224029873
2018-04-23,5034837.136852614,5030967.933816175,5332065.779575275,3258434.457927724
2018-04-24,4961486.264623993,4957854.884514081,5244950.2752393475,3201626.8835844784
2018-04-25,5003692.044840585,4999745.5902347965,5277997.684845682,3209761.3015068676
2018-04-26,5044625.5673017325,5040366.1730193375,5327351.657897562,3242032.270969463
2018-04-27,5059354.811750243,5055208.823187534,5347752.106874126,3239765.302040272
2018-04-30,5046971.553815606,5043030.448044626,5317493.818803123,3220962.7950393385
2018-05-01,5018182.740700179,5014267.093686525,5299976.769044635,3210561.4081877586
2018-05-02,4952121.354086587,4948015.135547918,5231925.117488465,3188558.474463262
2018-05-03,4974455.808095143,4970379.162065059,5251278.938372475,3188425.12334978
2018-05-04,5045390.903420465,5041276.459609439,5320948.339468462,3234031.2041605553
2018-05-07,5049444.077859291,5045203.626578362,5328669.051797582,3246032.8043739167
2018-05-08,5025154.603199618,5020787.170142174,5305333.746774713,3246032.8043739167
2018-05-09,5024945.0291726785,5020264.046325269,5309395.008613962,3272436.3248433126
2018-05-10,5079365.078553923,5074846.613687075,5370323.019046021,3299906.654220563
2018-05-11,5123381.987407169,5118933.008716341,5419802.0783977555,3314308.574476597
2018-05-14,5165725.652595822,5161354.139376008,5466683.143513987,3324043.2057607686
2018-05-15,5107347.564401165,5103032.7115782285,5401622.664952656,3297906.387518336
2018-05-16,5126853.074075096,5122743.288098621,5423585.210272171,3306707.561008135
2018-05-17,5134081.233069278,5129971.791623621,5429639.3676959,3303640.4853980537
2018-05-18,5171305.486575113,5167015.829248696,5466458.112912934,3293772.5030004005
2018-05-21,5250878.101407794,5246338.504553109,5548694.257114853,3332977.730364049
2018-05-22,5178181.041658641,5173826.5353148375,5477548.903984686,3309507.9343912527
2018-05-23,5199386.368343324,5194963.966013425,5498792.636698362,3315508.734497933
2018-05-24,5185726.047011658,5181219.215189394,5482619.069890214,3305907.454327244
2018-05-25,5207474.320605114,5203041.709443205,5501570.3535183715,3298706.494199227
2018-05-29,5133428.406873039,5129080.620070163,5428987.147771841,3246432.857714362
2018-05-30,5193853.183613995,5189426.025894755,5492206.055829337,3289771.9695959464
2018-05-31,5120447.418000401,5115986.161624289,5417035.436124187,3256167.4889985337
2018-06-01,5158538.15219685,5154012.314003003,5463216.203413328,3285238.0317375655
2018-06-04,5192539.848701652,5187781.259333954,5494827.755048899,3309774.636618216
2018-06-05,5184837.775358798,5180029.510556922,5490361.881153767,3309107.881050807
2018-06-06,5285645.569864173,5280746.211471584,5589665.356507653,3354047.206294173
2018-06-07,5319668.518847701,5314803.42725344,5613238.287430394,3367515.6687558345
2018-06-08,5336083.312184918,5331136.299845019,5631957.931521857,3377383.6511534876
2018-06-11,5352730.128787617,5347757.515145817,5651951.116158629,3378983.8645152687
